Email,Nombre,Primer apellido,Segundo apellido,Nick,Localidad,Provincia,Teléfono móvil,
m@gmail.com,miguel,miguel,per,mig,Granada,Granada,785965411,
root@gmail.com,ali,xclvcx..,adasd,null,null,null,987,
j@gmail.com,null,null,null,null,null,null,null,
prueba1@gmail.com,null,null,null,null,null,null,null,
mar@gmail.com,null,null,null,null,null,null,null,
mer@gmail.com,dffñfld,null,null,null,null,null,null,
sev@gmail.com,null,null,null,null,null,null,null,
afdsfsdls@gmail.com,null,null,null,null,null,null,null,
a@gmail.com,null,null,null,null,null,null,null,
jo@gmail.com,null,null,null,null,null,null,null,
